"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","509","Create user","LMS service","Tue Oct 28 09:43:30 UTC 2025","passed","Tue Oct 28 09:43:31 UTC 2025","Create entity","Users","",""
"","13","Get user me","LMS service","Tue Oct 28 09:43:32 UTC 2025","passed","Tue Oct 28 09:43:32 UTC 2025","Get entity","Users","",""
"","296","Delete exercise","LMS service","Tue Oct 28 09:43:26 UTC 2025","passed","Tue Oct 28 09:43:27 UTC 2025","Delete entity","Exercises","",""
"","274","Create file with empty filename","LMS service","Tue Oct 28 09:43:30 UTC 2025","passed","Tue Oct 28 09:43:30 UTC 2025","Validate entity","Files","",""
"","297","Create user","LMS service","Tue Oct 28 09:43:31 UTC 2025","passed","Tue Oct 28 09:43:31 UTC 2025","Create entity","Users","",""
"","40","Create course","LMS service","Tue Oct 28 09:43:23 UTC 2025","passed","Tue Oct 28 09:43:23 UTC 2025","Create entity","Courses","",""
"","556","Login with correct email and password","LMS service","Tue Oct 28 09:43:22 UTC 2025","passed","Tue Oct 28 09:43:22 UTC 2025","Login","Authentication","",""
"","300","Get exercises","LMS service","Tue Oct 28 09:43:27 UTC 2025","passed","Tue Oct 28 09:43:27 UTC 2025","Get entities","Exercises","",""
"","271","Create file with empty filename","LMS service","Tue Oct 28 09:43:29 UTC 2025","passed","Tue Oct 28 09:43:29 UTC 2025","Validate entity","Files","",""
"","313","Update course","LMS service","Tue Oct 28 09:43:22 UTC 2025","passed","Tue Oct 28 09:43:22 UTC 2025","Update entity","Courses","",""
"","17","Get file","LMS service","Tue Oct 28 09:43:28 UTC 2025","passed","Tue Oct 28 09:43:28 UTC 2025","Get entity","Files","",""
"","45","Get courses","LMS service","Tue Oct 28 09:43:24 UTC 2025","passed","Tue Oct 28 09:43:24 UTC 2025","Get entities","Courses","",""
"","274","Get file with incorrect file id","LMS service","Tue Oct 28 09:43:30 UTC 2025","passed","Tue Oct 28 09:43:31 UTC 2025","Validate entity","Files","",""
"","28","Get exercise","LMS service","Tue Oct 28 09:43:26 UTC 2025","passed","Tue Oct 28 09:43:26 UTC 2025","Get entity","Exercises","",""
"","268","Create file","LMS service","Tue Oct 28 09:43:27 UTC 2025","passed","Tue Oct 28 09:43:28 UTC 2025","Create entity","Files","",""
"","559","Create user","LMS service","Tue Oct 28 09:43:31 UTC 2025","passed","Tue Oct 28 09:43:31 UTC 2025","Create entity","Users","",""
"","298","Update exercise","LMS service","Tue Oct 28 09:43:25 UTC 2025","passed","Tue Oct 28 09:43:25 UTC 2025","Update entity","Exercises","",""
"","30","Create exercise","LMS service","Tue Oct 28 09:43:24 UTC 2025","passed","Tue Oct 28 09:43:24 UTC 2025","Create entity","Exercises","",""
"","28","Delete file","LMS service","Tue Oct 28 09:43:29 UTC 2025","passed","Tue Oct 28 09:43:29 UTC 2025","Delete entity","Files","",""
